"(Tipo documental) 
Norma - Función o Proceso","(Tipo documental) 
Código del Procedimiento","(Tipo documental)  
Código del Formato","(Tipo documental) 
Nombre del registro o documento de archivo","(Tipo documental) 
Definición","(Tipo documental) 
IDIOMA","Soporte
Análogo","Soporte
Digital","Soporte
Electrónico",Descripción del Soporte,"Origen
Interno","Origen
Externo","(Clasificación documental)
Localización del documento o registro","(Clasificación documental)
Cuenta con clasificación
SI / NO","(Clasificación documental)
Serie","(Clasificación documental) 
Subserie","(Clasificación documental)
Unidad Administrativa Responsable - Dependencia"
GESTIÓN DE MERCADEO,P-SN-005,N/A,Comunicación Externa,solicitud de alianza para la realización de capacitaciones,Español,X,,,PAPEL  ,,X,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-005,R-DA-005,Comunicación Oficial Externa  ,Contiene modalidades de participación - reglamentación - costos y beneficios,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-005,R-SJ-005,Solicitud de Contratación,Registra la solicitud oficial para la realización de un contrato,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-005,N/A,Propuesta de Capacitación,Documento que describe los temas y forma en que se realizarán las capacitaciones,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-005,N/A,Convenio,Describe los términos y condiciones en que se realizarán las actividades de capacitación desde la parte legal,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-005,R-DA-006,Comunicación Oficial Interna,Documento mediante le cual se realizan solicitudes a nivel interno,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-005,R-SN-006,Encuestas ,Formatos utilizados para evaluar una actividad,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-005,N/A,Informe,Registra el informe de Actividades,Español,X,,,PAPEL  ,,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-006,N/A,Propuesta de Proveedores,Describe productos que ofrece la entidad que presenta la propuesta,Español,X,,,PAPEL  ,,X,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-006,N/A,Propuesta,Contiene la tipología de productos que representan la marca de Transmilenio S.A. en sus componentes,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-006,R-SJ-005,Solicitud de Contratación,Registra la solicitud oficial para la realización de un contrato,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-006,N/A,Convenio,Describe los términos y condiciones en que se realizarán las actividades de capacitación desde la parte legal,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-006,R-DA-006,Comunicación Oficial Externa,Registra las no conformidades frente al producto recibido (Opcional),Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-006,N/A,Ingreso a Almacén,Registro de Productos que ingresan al almacén,Español,X,,,PAPEL  ,X,,Dirección Administrativa,SI,MOVIMIENTOS DE ALMACÉN,Movimientos de Entrada de Almacén,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-006,R-SN-006,Encuestas ,Formatos utilizados para evaluar una actividad,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-006,N/A,Informe,Registra el informe de Actividades,Español,X,,,PAPEL  ,,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-006,N/A,Estrategia de Mercadeo,Publicación o correo electrónico,Español,X,,,PAPEL  ,,,Subgerencia de Desarrollo de Negocios ,SI,Sin Establecer,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-006,R-SN-005,Formato de Adquisición de Merchandicing,Registro de compra y autorización de descuento por nómina,Español,X,,,PAPEL  ,,,Subgerencia de Desarrollo de Negocios ,SI,Sin Establecer,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-007,N/A,Propuesta de Proveedores,Describe productos que ofrece la entidad que presenta la propuesta,Español,X,,,PAPEL  ,,X,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-007,N/A,Propuesta,Contiene la tipología de productos que representan la marca de Transmilenio S.A. en sus componentes,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-007,R-SJ-005,Solicitud de Contratación,Registra la solicitud oficial para la realización de un contrato,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-007,N/A,Convenio,Describe los términos y condiciones en que se realizarán las actividades de capacitación desde la parte legal,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-007,R-DA-006,Comunicación Oficial Externa,Registra las no conformidades frente al producto recibido (Opcional),Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-007,N/A,Ingreso a Almacén,Registro de Productos que ingresan al almacén,Español,X,,,PAPEL  ,X,,Dirección Administrativa,SI,MOVIMIENTOS DE ALMACÉN,Movimientos de Entrada de Almacén,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-007,R-SN-006,Encuestas ,Formatos utilizados para evaluar una actividad,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-007,N/A,Informe,Registra el informe de Actividades,Español,X,,,PAPEL  ,,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-007,N/A,Estrategia de Mercadeo,Publicación o correo electrónico,Español,X,,,PAPEL  ,,,Subgerencia de Desarrollo de Negocios ,SI,ESTRATEGIAS DE MERCADEO,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-007,R-SN-005,Formato de Adquisición de Merchandicing,Registro de compra y autorización de descuento por nómina,Español,X,,,PAPEL  ,,,Subgerencia de Desarrollo de Negocios ,SI,ESTRATEGIAS DE MERCADEO,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-008,N/A,Comunicación Externa Recibida,Describe hechos de uso indebido de la marca,Español,X,,,PAPEL  ,,X,Subgerencia de Desarrollo de Negocios ,SI,AUTORIZACIONES DE USO DE LA MARCA,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-008,R-DA-006,Comunicación Oficial Externa,Documento a través del cual se solicita al infractor cesación de la utilización y/o acuerdo económico,Español,X,,,PAPEL  ,,X,Subgerencia de Desarrollo de Negocios ,SI,AUTORIZACIONES DE USO DE LA MARCA,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-008,N/A,Comunicación Externa Recibida,Respuesta dada por el infractor,Español,X,,,PAPEL  ,,X,Subgerencia de Desarrollo de Negocios ,SI,AUTORIZACIONES DE USO DE LA MARCA,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-008,R-DA-006,Autorización de Uso de la Marca,Comunicación que autoriza el uso de la marca,Español,X,,,PAPEL  ,,,Subgerencia de Desarrollo de Negocios ,SI,AUTORIZACIONES DE USO DE LA MARCA,N/A,Subgerencia de Desarrollo de Negocios 
ATENCIÓN DE PETICIONES - QUEJAS - RECLAMOS Y SUGERENCIAS,P-SC-001,R-SC-001, Recepción de Requerimiento ,Contiene la información detallada de la Petición - queja o reclamo presentada por el usuario del sistema.,Español,X,,X,Papel Y Documento Electrónico,,X,INTRANET,SI,PETICIONES QUEJAS Y RECLAMOS,SIN ESTABLECER,SUBGERENCIA DE COMUNICACIONES Y ATENCIÓN AL USUARIO - Servicio al Ciudadano y Contacto SIRCI
ATENCIÓN DE PETICIONES - QUEJAS - RECLAMOS Y SUGERENCIAS,P-SC-001,R-SC-003 ,Acta de Fijación y Desfijación,Documento que contiene la respuesta por parte de la Entidad al usuario que no deja sus datos de contacto o con el que no se logró entablar contacto. Este documento es publicado en una cartelera de la entidad por 15 días.,Español,X,,X,Papel Y Documento Electrónico,X,,INTRANET,SI,PETICIONES QUEJAS Y RECLAMOS,SIN ESTABLECER,SUBGERENCIA DE COMUNICACIONES Y ATENCIÓN AL USUARIO - Servicio al Ciudadano y Contacto SIRCI
ATENCIÓN DE PETICIONES - QUEJAS - RECLAMOS Y SUGERENCIAS,P-SC-001,R-OP-003 ,Solicitud de Trámite,Direccionamiento de la Petición - queja o reclamo a la dependencia responsable de la respuesta del mismo.,Español,X,,X,Papel Y Documento Electrónico,X,,INTRANET,SI,PETICIONES QUEJAS Y RECLAMOS,SIN ESTABLECER,SUBGERENCIA DE COMUNICACIONES Y ATENCIÓN AL USUARIO - Servicio al Ciudadano y Contacto SIRCI
TRAMITE DE DESINCENTIVOS POR INCUMPLIMIENTOS,P-DB-001,NA,Informe de interventoría,Documento en el cual se registran todos los hallazgos encontrados durante los procesos de auditoría y/o verificación y que representen un supuesto incumplimiento - deben estar soportados en evidencia objetiva - esto es - evidencia fotográfica - óptica - documental - etc. - que permitan la valoración precisa de cada hecho,Español,X,,X,Papel  y Documento electrónico,X,,Archivo de Gestión Subgerencia Jurídica,SI,CONTRATOS,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES  - SUBGERENCIA JURÍDICA
DILIGENCIAMIENTO DE LA BITÁCORA GESTSAE,P-DB-002,NA,Bitácora,Es la base de datos de la aplicación del GESTSAE - en la cual se lleva la totalidad de los registros de los acontecimientos diarios de la operación del Sistema Integrado de Transporte Público.,Español,,,X,SISTEMA  GETSAE,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de Buses DTB,NO,SIN ESTABLECER,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES
INMOVILIZACIÓN Y HABILITACIÓN DE VEHÍCULOS DEL COMPONENTE ZONAL DEL SITP,P-DB-003,NA,Reporte de Inmovilizados,Registro en el GETSAE de los vehículos Inmovilizados,Español,,X,,SISTEMA  GETSAE,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de Buses DTB,NO,SIN ESTABLECER,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES
PROGRAMACIÓN DE LA OPERACIÓN EN COMPONENTE ZONAL,P-DB-004,NA,Programas de Servicios de Operación no Troncal,programación con los detalles de cada bus y conductor - para que - el Sistema de Gestión y Control de Flota capture - procese y concentre la información operacional proveniente de los buses - el cual permitirá monitorear automáticamente la ejecución del servicio que estará prestando cada bus en su ruta.,Español,,,X,SISTEMA  GETSAE,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de Buses DTB,SI,PROGRAMAS,Programa de Servicios de Operación no Troncal,DIRECCIÓN TÉCNICA DE BUSES -  CONTROL DE LA OPERACIÓN
REALIZACIÓN DE PRUEBAS DE ALCOHOLIMETRÍA,P-DB-005,NA,NA,NA,Español,X,,,PAPEL,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de Buses DTB,NO,SIN ESTABLECER,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES 
CONTROL DE VELOCIDAD A VEHICULOS ADSCRITOS AL SITP EN SU COMPONENTE ZONAL,P-DB-006,R-DB-005,Plan del operativo de medición de velocidad,Planificación  del control de la velocidad para los vehículos del SITP o de tráfico mixto determinando los recursos humanos y técnicos necesarios a su desarrollo,Español,,,X,Documento Electrónico,X,,GOAL,SI,CONTRATOS,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES 
CONTROL DE VELOCIDAD A VEHICULOS ADSCRITOS AL SITP EN SU COMPONENTE ZONAL,P-DB-006,R-DB-006,Formato de toma de muestras de velocidad,Contiene los resultados de las muestras de velocidad realizadas a los vehículos.,Español,,,X,Documento Electrónico,X,,INTRANET,NO,CONTRATOS,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES  - SUBGERENCIA JURÍDICA
SUPERVISION A LA OPERACION DEL SITP EN SU COMPONENTE ZONAL,P-DB-007,NA,NA,NA,Español,,,,NA,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de Buses DTB,NO,SIN ESTABLECER,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES 
RECAPACITACION Y HABILITACION DE CONDUCTORES ZONALES DEL SITP,P-DB-009,NA,Recapacitación,Registro en el Getsae para habilitar nuevamente a un conductor,Español,,,X,SISTEMA  GETSAE,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de Buses DTB,NO,SIN ESTABLECER,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES 
ATENCION DE CONTINGENCIAS DEL SITP EN SU COMPONENTE ZONAL DESDE EL CENTRO DE CONTROL MAESTRO,P-DB-010,NA,NA,NA,Español,,,,NA,,,NA,NO,SIN ESTABLECER,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES 
VERIFICACION DEL MANEJO PREVENTIVO EN VIA PARA VEHICULOS ADSCRITOS AL SITP EN SU COMPONENTE ZONAL,P-DB-011,NA,NA,NA,Español,,,,NA,,,NA,NO,SIN ESTABLECER,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES 
INSPECCIÓN A LA INFRAESTRUCTURA DEL COMPONENTE ZONAL DEL SITP,P-DB-013,NA,NA,NA,Español,,,,NA,,,NA,NO,SIN ESTABLECER,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES 
VINCULACIÓN DE VEHICULOS ZONALES AL SITP,P-DB-015,R-DB-002,"Certificado de Vinculación
de Vehículos",Registro en el GETSAE  de la vinculación de un vehículo al sistema. ,Español,,,X,SISTEMA  GETSAE,X,,INTRANET,NO,CONTRATOS,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES  - SUBGERENCIA JURÍDICA
VINCULACIÓN DE CONDUCTORES,P-DB-016,R-DB-003,"Certificado de Vinculación
de conductores",Registro en el GETSAE  de la vinculación de un conductor al sistema. ,Español,,,X,SISTEMA  GETSAE,X,,GETSAE,NO,CONTRATOS,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BUSES  - SUBGERENCIA JURÍDICA
PROGRAMACIÓN DE SERVICIOS TRONCALES - DUALES Y ALIMENTADORES,P-DO-001,N/A,Programa de Servicios de la Operación ,definición inicial de servicios - que incluye el periodo de operación - recorrido - paraderos - tiempos de ciclo y frecuencias que es enviada a los operadores. En este programa de servicios se define la oferta que atiende la demanda proyectada en cada periodo y tramo con los niveles de servicio establecidos por TRANSMILENIO S.A utilizando para ello - la flota vinculada para la operación regular de los operadores y la configuración de servicios vigente.,Español,,,X,,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de BRT,SI,PROGRAMAS,programa de Servicios de Operación,DIRECCIÓN TÉCNICA DE BRT - Programación
PROGRAMACIÓN DE SERVICIOS TRONCALES - DUALES Y ALIMENTADORES,P-DO-001,N/A,Resumen de Programación de servicios alimentadores,Registro de la programación de los recorridos de los alimentadores,Español,,,X,,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de BRT,SI,PROGRAMAS,programa de Servicios de Operación No Troncal,DIRECCIÓN TÉCNICA DE BRT - Programación
PROGRAMACIÓN DE SERVICIOS TRONCALES - DUALES Y ALIMENTADORES,P-DO-001,N/A,Lista de Chequeo para revisión de programación troncal.,Listados de aspectos a verificar en la estructura de la programación troncal,Español,,,X,,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de BRT,SI,PROGRAMAS,programa de Servicios de Operación No Troncal,DIRECCIÓN TÉCNICA DE BRT - Programación
PROGRAMACIÓN DE SERVICIOS TRONCALES - DUALES Y ALIMENTADORES,P-DO-001,N/A,Bitácora de programación de servicios troncales.,registro de las actividades referentes al programa de servicios troncales,Español,,,X,,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de BRT,SI,PROGRAMAS,programa de Servicios de Operación No Troncal,DIRECCIÓN TÉCNICA DE BRT - Programación
PROGRAMACIÓN DE SERVICIOS TRONCALES - DUALES Y ALIMENTADORES,P-DO-001,N/A,Bitácora de programación de servicios duales,registro de las actividades referentes al programa de servicios de los servicios duales,Español,,,X,,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de BRT,SI,PROGRAMAS,programa de Servicios de Operación No Troncal,DIRECCIÓN TÉCNICA DE BRT - Programación
PROGRAMACIÓN DE SERVICIOS TRONCALES - DUALES Y ALIMENTADORES,P-DO-001,N/A,Bitácora de programación de servicios alimentadores,registro de las actividades referentes al programa de servicios de los servicios alimentadores,Español,,,X,,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de BRT,SI,PROGRAMAS,programa de Servicios de Operación No Troncal,DIRECCIÓN TÉCNICA DE BRT - Programación
PROGRAMACIÓN DE SERVICIOS TRONCALES - DUALES Y ALIMENTADORES,P-DO-001,N/A,Lista de chequeo de cambios estructurales de los servicios troncales,revisión de los cambios realizados al programa de los servicios troncales,Español,,,X,,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de BRT,SI,PROGRAMAS,programa de Servicios de Operación No Troncal,DIRECCIÓN TÉCNICA DE BRT - Programación
PROGRAMACIÓN DE SERVICIOS TRONCALES - DUALES Y ALIMENTADORES,P-DO-001,N/A,Seguimiento de los kilometrajes programados de los servicios troncales,datos exactos del recorrido en kilómetros ejecutado por los servicios troncales,Español,,,X,,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de BRT,SI,PROGRAMAS,programa de Servicios de Operación No Troncal,DIRECCIÓN TÉCNICA DE BRT - Programación
DILIGENCIAMIENTO DE BITÁCORA,P-DO-002,N/A,Bitácora,Registro de toda novedad reportada por usuarios - Policía o personal de TRANSMILENIO S.A. al Centro de Control ,Español,,,X,SISTEMA  GETSAE,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de Buses DTB,NO,SIN ESTABLECER,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BRT Control de la operación
ANÁLISIS DE ACCIDENTES TRONCALES Y ALIMENTADORES,P-DO-003,R-DO-001,Lista de Chequeo Investigación de Accidentes,Registro de documentos y pruebas y demás allegadas y demás que considere pertinente el funcionario de Transmilenio.,Español,X,,,PAPEL,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de BRT,SI,INFORMES,Informe de investigación de accidentes  Brt,DIRECCIÓN TÉCNICA DE BRT seguridad Brt
ANÁLISIS DE ACCIDENTES TRONCALES Y ALIMENTADORES,P-DO-003,R-DO-002,Informe de Investigación de Accidentes,Contiene todos los detalles - pruebas y el análisis de todos los factores que llevaron al accidente - causas - acciones preventivas y conclusiones sobre el mismo. ,Español,X,,,PAPEL,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de BRT,SI,INFORMES,Informe de investigación de accidentes  Brt,DIRECCIÓN TÉCNICA DE BRT seguridad Brt
INSPECCIÓN DIARIA ALEATORIA E INSPECCIÓN ANUAL DE FLOTA TRONCAL,P-DO-004,R-DO-004,Reporte de Incumplimientos,Registro de los hallazgos e incumplimientos por parte de los vehículos encontrados durante la inspección.,Español,,,X,PAPEL,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de BRT,,CONTRATOS,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BRT 
INSPECCIÓN DIARIA ALEATORIA E INSPECCIÓN ANUAL DE FLOTA TRONCAL,P-DO-004,R-DO-005,Reporte de Novedades Diarias,Consolidado de las novedades diarias identificadas durante la i inspección.,Español,,,X,Documento Electrónico,X,,Ubicado en el Archivo de Gestión de la Dirección Técnica de BRT,,CONTRATOS,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BRT 
CONTROL DE LA VINCULACIÓN DE VEHÍCULOS DEL COMPONENTE TRONCAL Y ALIMENTACIÓN,P-DO-006,R-DO-007,vinculación de vehículos troncales articulados,Registro en el GETSAE  de la vinculación de un vehículo al sistema. ,Español,,,X,Documento Electrónico,,,GETSAE,NO,CONTRATOS,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BRT 
CONTROL DE LA VINCULACIÓN DE VEHÍCULOS DEL COMPONENTE TRONCAL Y ALIMENTACIÓN,P-DO-006,R-DO-008, vinculación de vehículos troncales biarticulados,Registro en el GETSAE  de la vinculación de un vehículo al sistema. ,Español,,,X,Documento Electrónico,,,GETSAE,NO,SIN ESTABLECER,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BRT 
CONTROL DE LA VINCULACIÓN DE VEHÍCULOS DEL COMPONENTE TRONCAL Y ALIMENTACIÓN,P-DO-006,R-DO-009,Inspección técnica para vinculación de buses al SITP Padrón y Padrón Dual (80 a 120 pasajeros,Registro en el GETSAE  de la vinculación de un vehículo al sistema. ,Español,,,X,Documento Electrónico,,,GETSAE,NO,SIN ESTABLECER,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BRT 
CONTROL DE LA VINCULACIÓN DE VEHÍCULOS DEL COMPONENTE TRONCAL Y ALIMENTACIÓN,P-DO-006,R-DO-001,inspección técnica de vehículos usados(*),Registro en el GETSAE  de la vinculación de un vehículo al sistema. ,Español,,,X,Documento Electrónico,,,GETSAE,NO,SIN ESTABLECER,SIN ESTABLECER,DIRECCIÓN TÉCNICA DE BRT 
"GESTIÓN PARA LA EJECUCIÓN DE ASOCIACIONES
PÚBLICO-PRIVADAS DE INICIATIVA PRIVADA",P-DM-001,NA,NA,NA,Español,,,,NA,,,NA,NO,SIN ESTABLECER,SIN ESTABLECER,Dirección Técnica de Modos Alternativos
